Catalogue/Guidebook Title,Exhibition Title,Publishing Info,Curator(s),Artwork Number,Artwork Title,Artist Name,Artwork Location,Location Lat.,Location Long.,Artwork Specific Loc.,Artwork Lat.,Artwork Long.,Artist BY/Est.,Artist DY,Artist Birthplace,Artist Workplace
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.15-1,Conversion (2013),Lúcia Koch,Al Mureijah Square,25.356875,55.381479,Bait Al Hurma/Bait Habib Shalawani,25.357639,55.382292,1966,NA,"Porto Alegre, Brazil","São Paulo, Brazil"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.14-1,Situation leading to a courtyard (address rehearsal) (2013),Tamar Guimarães and Kasper Akhøj,Al Mureijah Square,25.356875,55.381479,Bait Abdul Raheem Jasem,25.357456,55.38229,1967; 1976,NA,"Belo Horizonte, Brazil; Copenhagen, Denmark","Copenhagen, Denmark"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.16-1,Familie Tezcan (2001),Nevin Aladağ,Al Mureijah Square,25.356875,55.381479,Bait Khalid Ibrahim,25.357362,55.38261,1972,NA,"Van, Turkey","Berlin, Germany"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.16-2,Pop Song – Knocking on Heaven’s Door (2007); Time in Heart 1 (2008),Bae Young-whan,Al Mureijah Square,25.356875,55.381479,Bait Khalid Ibrahim,25.357362,55.38261,1969,NA,"Seoul, Korea","Seoul, Korea"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.16-3,Blood of Two (2009),Mathew Barney and Elizabeth Peyton,Al Mureijah Square,25.356875,55.381479,Bait Khalid Ibrahim,25.357362,55.38261,1967; 1964,NA,"San Francisco, USA; Danbury, Connecticut, USA","New York, USA"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.16-4,No Man Is an Island (2002),Jesper Just,Al Mureijah Square,25.356875,55.381479,Bait Khalid Ibrahim,25.357362,55.38261,1974,NA,"Copenhagen, Denmark","New York, USA"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.16-5,Kolanut Tales (2012); Taste of a Stone: Itiat Esa Ufok (2013),Otobong Nkanga,Al Mureijah Square,25.356875,55.381479,Bait Khalid Ibrahim,25.357362,55.38261,1974,NA,"Kano, Nigeria","Antwerp, Belgium"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.16-6,Anglo-Arabian (2010),Marwa Rustam,Al Mureijah Square,25.356875,55.381479,Bait Khalid Ibrahim,25.357362,55.38261,1986,NA,"Manama, Bahrain","Manama, Bahrain"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.7-1,Immediate Shelter (2013),Studio Mumbai - Bijoy Jain,Al Mureijah Square,25.356875,55.381479,Al Hamdan Bin Mousa Courtyard,25.357395,55.382147,Est. 1995,NA,"Mumbai, India","Mumbai, India"
"Sharjah Biennial 11
Re:emerge
Towards a New Cultural Cartography
13 March–13 May 2013
Guidebook",Sharjah Biennial 11: Re:emerge Towards a New Cultural Cartography,"?[Sharjah Art Foundation, 2013]",Yuko Hasegawa,1.6-1,Courtyard Ornamentation with 4 Sounding Dots and a Shade (2013),Cevdet Erek,Al Mureijah Square,25.356875,55.381479,Bait Gholoum Ibrahim,25.357241,55.381774,1974,NA,"Istanbul, Turkey","Istanbul, Turkey"
