Catalogue/Guidebook Title,Exhibition Title,Publishing Info,Curator(s),Artwork Number,Artwork Title,Artist Name,Artwork Location,Location Lat.,Location Long.,Artwork Specific Loc.,Artwork Lat.,Artwork Long.,Artist BY/Est.,Artist DY,Artist Birthplace,Artist Workplace
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",1,The Landing (2019),Akram Zaatari,Al Mureijah Square,25.356875,55.381479,Gallery 6,25.357190,55.382002,1966,NA,"Sidon, Lebanon","Beirut, Lebanon"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",2,The Specter of Ancestors Becoming (2019),Tuấn Andrew Nguyễn,Al Mureijah Square,25.356875,55.381479,Bait Gholoum Ibrahim,25.357241,55.381774,1976,NA,"Saigon, Vietnam","Ho Chi Minh City, Vietnam"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",3,Aging Ruins Dreaming Only to Recall the Hard Chisel from the Past (2019),"Otobong Nkanga;
Emeka Ogboh",Al Mureijah Square,25.356875,55.381479,Bait Al Aboudi,25.356690,55.381543,1974;1977,NA,"Kano, Nigeria; Enugu, Nigeria","Antwerp, Belgium; Berlin, Germany & Lagos, Nigeria"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",4,Residue (2019); Final Flight (2018-2019); Horizon (2016),Hrair Sarkissian,Al Mureijah Square,25.356875,55.381479,Bait Habib Al Yousef,25.356370,55.381727,1973,NA,"Damascus, Syria","London, UK"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",5,Cyclonic Palate Cleanser (2019),Heather Phillipson,Al Mureijah Square,25.356875,55.381479,Bait Hussain Makrani,25.356592,55.381738,1978,NA,"London, UK","London, UK"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",6,33 Women (2014–2019),Alfredo Jaar,Al Mureijah Square,25.356875,55.381479,Gallery 5,25.356641,55.382159,1956,NA,"Santiago, Chile","New York, USA"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",7,Volute (2006–2019),Ann Veronica Janssens,Al Mureijah Square,25.356875,55.381479,Gallery 5,25.356641,55.382159,1956,NA,"Folkestone, UK","Brussels, Belgium"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",8,NYARTIST (2019); Dunk (2019),Cory Arcangel,Al Mureijah Square,25.356875,55.381479,Gallery 5,25.356641,55.382159,1978,NA,"New York, USA","Brooklyn, USA
Stavanger, Norway"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2020","Zoe Butt, Omar Kholeif, Claire Tancons",8,Destroyed Jeans (2019),Cory Arcangel,Arts Square,25.361648,55.386495,Sharjah Art Museum,25.361381,55.387042,1978,NA,"New York, USA","Brooklyn, USA
Stavanger, Norway"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",9,Digest (2019),Candice Breitz,Al Mureijah Square,25.356875,55.381479,Gallery 5,25.356641,55.382159,1972,NA,"Johannesburg, South Africa","Berlin, Germany"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",10,"Ang Ma-bagyong Sabungan ng 2 Bathala ng Hangin, A Stormy Clash Between 2 Goddesses of the Winds (WW III – the Protracted Kultur War) (2019)",Kidlat Tahimik,Al Mureijah Square,25.356875,55.381479,Gallery 4,25.356948,55.382146,1942,NA,"Baguio City, Philippines","Baguio City, Philippines"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",11,Nomads of the Sea (2019),Lisa Reihana,Al Mureijah Square,25.356875,55.381479,Gallery 3,25.356922,55.382461,1964,NA,"Auckland, NZ","Auckland, NZ"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",12,Map of Games: Used to Being a Loser (2016); Map of Human Emotions: Both Despair and Hope Are Extinct Volcano (2016); Map of Fate: Heaven's Movement Is Ever Vigorous (2016),Qiu Zhijie,Al Mureijah Square,25.356875,55.381479,Gallery 3,25.356922,55.382461,1969,NA,"Zhangzhou, China","Beijing, China; Hangzhou, China"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",13,Time Travel (2019),Caline Aoun,Al Mureijah Square,25.356875,55.381479,"Courtyard, Gallery 1& 2",25.357201,55.382290,1983,NA,"Beirut, Lebanon","Beirut, Lebanon"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",14,Massive Kinship (solitary promenade) (2019),Laura Lima,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1971,NA,"Minas Gerais, Brazil","Rio de Janeiro, Brazil"
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",15,At the Time of the Ebb (2019),Alia Farid,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1985,NA,Kuwait,Kuwait; Puerto Rico
"Sharjah Biennial 14
Leaving the Echo Chamber
7 March–10 June 2019
Guidebook",Sharjah Biennial 14: Leaving the Echo Chamber,"Sharjah Art Foundation, 2019","Zoe Butt, Omar Kholeif, Claire Tancons",16,The Gulf Project Camp (2019),Wael Shawky,Al Mureijah Square,25.356875,55.381479,Gallery 1,25.357289,55.382261,1971,NA,"Alexandria, Egypt","Alexandria, Egypt; Philadelphia, USA"
